name,type,description,family,raster_asset,included_in_focused_list
tk0_5a,float,Thickness of soil components used in standard layer 1 or standard zone 1 (0-5 cm) expressed in cm (weighted average) for the available water storage calculation. NULL values are presented where data are incomplete or not available.,aws_contributing_thickness,true,false
tk5_20a,float,Thickness of soil components used in standard layer 2 (5-20 cm) expressed in cm (weighted average) for the available water storage calculation. NULL values are presented where data are incomplete or not available.,aws_contributing_thickness,true,false
tk0_20a,float,Thickness of soil components used in standard zone 2 (0-20 cm) expressed in cm (weighted average) for the available water storage calculation. NULL values are presented where data are incomplete or not available.,aws_contributing_thickness,true,false
tk0_30a,float,Thickness of soil components used in standard zone 3 (0-30 cm) expressed in cm (weighted average) for the available water storage calculation. NULL values are presented where data are incomplete or not available.,aws_contributing_thickness,true,false
tk0_5s,float,Thickness of soil components used in standard layer 1 or standard zone 1 (0-5 cm) expressed in cm (weighted average) for the Soil Organic Carbon calculation. NULL values are presented where data are incomplete or not available.,soc_contributing_thickness,true,false
tk5_20s,float,Thickness of soil components used in standard layer 2 (5-20 cm) expressed in cm (weighted average) for the Soil Organic Carbon calculation. NULL values are presented where data are incomplete or not available.,soc_contributing_thickness,true,false
tk0_20s,float,Thickness of soil components used in standard zone 2 (0-20 cm) expressed in cm (weighted average) for the Soil Organic Carbon calculation. NULL values are presented where data are incomplete or not available.,soc_contributing_thickness,true,false
tk0_30s,float,Thickness of soil components used in standard zone 3 (0-30 cm) expressed in cm (weighted average) for the Soil Organic Carbon calculation. NULL values are presented where data are incomplete or not available.,soc_contributing_thickness,true,false
