table_name,data_type,identifier,description,last_change,min_x,min_y,max_x,max_y,srs_id,rows,count_seconds,label,description_right,hierarchy_level,table_type,columns
mdstatrshipdet,attributes,mdstatrshipdet,"",2024-07-02T00:19:52.408Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,81,0.000011791940778493881,Relationship Detail Static Metadata,The Relationship Detail Static Metadata table records the pairs of join columns that define a particular relationship.  Each record in this table represents one pair of join columns for a particular relationship.,2,Metadata,5
mdstatrshipmas,attributes,mdstatrshipmas,"",2024-07-02T00:19:52.078Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,78,8.58306884765625e-6,Relationship Master Static Metadata,"The Relationship Master Static Metadata table records the metadata that pertains to a relationship, as a whole, for all relationships defined for the tabular data set.  Each record in this table represents one particular relationship between two related tables.  A relationship involves one or more pairs of join columns, and more than one relationship may exist between the same two tables.  Information about the join columns involved in a relationship is found in the Relationship Detail Static Metadata table.",1,Metadata,5
mdstattabs,attributes,mdstattabs,"",2024-07-02T00:19:51.778Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,77,0.0000367090106010437,Table Static Metadata,The Table Static Metadata table records metadata about the tables that make up the tabular data set.  Each record in this table represents one table.,0,Metadata,8
sdvfolder,attributes,sdvfolder,"",2024-07-02T00:19:51.857Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,20,0.000036708894185721874,SDV Folder,"The records in this table represent the folders and subfolders by which soil attributes (SDV rules) are grouped and displayed in the Soil Data Viewer application.  One record in this table may be related to another record in this table, i.e. a subfolder must identify its corresponding parent folder.",0,SDV,6
month,attributes,month,"",2024-07-02T00:19:51.793Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,12,4.375004209578037e-6,Month,This is a lookup table for months of the year.,0,Preload,2
systemtemplateinformation,attributes,systemtemplateinformation,"",2024-07-02T00:19:51.874Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,11,8.500064723193645e-6,System Template Information,This table stores the SSURGO version.,0,Preload,4
sdvalgorithm,attributes,sdvalgorithm,"",2024-07-02T00:19:51.834Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,8,0.00018608395475894213,SDV Algorithm,This lookup table records the valid algorithms for aggregating soil property values or soil interpretation results to the map unit level.,0,SDV,4
distinterpmd,attributes,distinterpmd,"",2024-07-02T00:19:51.889Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,0,0.0001877080649137497,Distribution Interp Metadata,The Distribution Interp Metadata table records the set of NASIS fuzzy logic interpretations which were generated for the map unit components included in a set of distribution data.,1,Obsolete,8
distlegendmd,attributes,distlegendmd,"",2024-07-02T00:19:51.921Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,0,0.00001750001683831215,Distribution Legend Metadata,The Distribution Legend Metadata table records information about the legends or soil survey areas selected for inclusion in a set of distributed data.  The presence of a legend in this table does not imply that all of the available data for that legend was included in the set of data that was distributed.  Only certain map units and components for that legend may have been selected.  The record of the criteria used for selecting map units and components may be found in the Distribution Metadata table.,1,Obsolete,11
distmd,attributes,distmd,"",2024-07-02T00:19:51.734Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,0,0.00014625000767409801,Distribution Metadata,"The Distribution Metadata table records information associated with the selection of a set of data for distribution to some entity or information system external to NASIS.  A set of distribution data may include only selected map units from a legend or legends, and only selected components of those map units.  This table records the criteria used for selecting map units and components for inclusion in the set of distributed data.  Other recorded information includes the name of the NASIS user who initiated a distribution request, and the times when that request was made, and when that request was ultimately processed.",0,Obsolete,4
featdesc,attributes,featdesc,"",2024-07-02T00:19:51.951Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,0,0.000034125056117773056,Feature Description,This table records the description of all spot features that occur in a soil survey area.,1,Tabular in Spatial,6
sacatalogmbr,attributes,sacatalogmbr,"",2024-07-02T00:19:52.157Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,0,0.00001550000160932541,Survey Area Catalog Mininum Bounding Rectangle,"This table records stores the bounding rectangle coordinates for the SSURGO spatial data. It is used by the GeoPackage version of the SQLite SSURGO Template database to properly update minimum bounding rectangle (MBR) information. The table is updated when soil survey areas are deleted from a Template database. At the time this was created in 2023, the QGIS application needed updated MBR information to properly display the full extent of spatial data in the GeoPackage version of the SQLite SSURGO Template.",1,Internal,6
featline,features,featline,"",2025-12-20T03:42:07.187Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,0,0.0000112500274553895,Feature Line,"This table records all of the spot features of a soil survey area that are represented as one or more lines.  This table is not like other tabular data tables that are delivered as ASCII delimited files.  How the information is delivered depends on the spatial format that was requested at the time the corresponding soil survey area was exported.  Spatial information is typically delivered in GIS vendor specific format, and more than one output file may be produced when the information for this spatial entity is exported.  Consequently, no spatially oriented columns are shown, because the name and number of columns necessary to portray spatial characteristics vary depending on spatial format.

This table is documented in order to show attributes that will always be available when working with the corresponding spatial entity in a GIS.  These attributes have two purposes.  One purpose is to identify each instance of the corresponding spatial entity.  The other purpose is to identify each instance of the corresponding tabular entity.  The tabular entity corresponding to a spot feature line is represented by a record in the Feature Description table.",2,Spatial,6
featpoint,features,featpoint,"",2025-12-20T03:42:15.569Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,0,0.000013750046491622925,Feature Point,"This table records all of the spot features of a soil survey area that are represented as one or more points.  This table is not like other tabular data tables that are delivered as ASCII delimited files.  How the information is delivered depends on the spatial format that was requested at the time the corresponding soil survey area was exported.  Spatial information is typically delivered in GIS vendor specific format, and more than one output file may be produced when the information for this spatial entity is exported.  Consequently, no spatially oriented columns are shown, because the name and number of columns necessary to portray spatial characteristics vary depending on spatial format.

This table is documented in order to show attributes that will always be available when working with the corresponding spatial entity in a GIS.  These attributes have two purposes.  One purpose is to identify each instance of the corresponding spatial entity.  The other purpose is to identify each instance of the corresponding tabular entity.  The tabular entity corresponding to a spot feature point is represented by a record in the Feature Description table.",2,Spatial,6
muline,features,muline,"",2025-12-20T03:35:43.155Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,0,8.999952115118504e-6,Mapunit Line,"This table records all of the soil map units of a soil survey area that are represented as one or more lines.  This table is not like other tabular data tables that are delivered as ASCII delimited files.  How the information is delivered depends on the spatial format that was requested at the time the corresponding soil survey area was exported.  Spatial information is typically delivered in GIS vendor specific format, and more than one output file may be produced when the information for this spatial entity is exported.  Consequently, no spatially oriented columns are shown, because the name and number of columns necessary to portray spatial characteristics vary depending on spatial format.

This table is documented in order to show attributes that will always be available when working with the corresponding spatial entity in a GIS.  These attributes have two purposes.  One purpose is to identify each instance of the corresponding spatial entity.  The other purpose is to identify each instance of the corresponding tabular entity.  The tabular entity corresponding to a map unit line is represented by a record in the Map Unit table.",3,Spatial,6
mupoint,features,mupoint,"",2024-07-02T00:19:54.550Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,0,4.249974153935909e-6,Mapunit Point,"This table records all of the soil map units of a soil survey area that are represented as one or more points.  This table is not like other tabular data tables that are delivered as ASCII delimited files.  How the information is delivered depends on the spatial format that was requested at the time the corresponding soil survey area was exported.  Spatial information is typically delivered in GIS vendor specific format, and more than one output file may be produced when the information for this spatial entity is exported.  Consequently, no spatially oriented columns are shown, because the name and number of columns necessary to portray spatial characteristics vary depending on spatial format.

This table is documented in order to show attributes that will always be available when working with the corresponding spatial entity in a GIS.  These attributes have two purposes.  One purpose is to identify each instance of the corresponding spatial entity.  The other purpose is to identify each instance of the corresponding tabular entity.  The tabular entity corresponding to a map unit point is represented by a record in the Map Unit table.",3,Spatial,6
mupolygon,features,mupolygon,"",2025-12-22T15:19:52.053Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,0,3.91609501093626e-6,Mapunit Polygon,"This table records all of the soil map units of a soil survey area that are represented as one or more polygons.  This table is not like other tabular data tables that are delivered as ASCII delimited files.  How the information is delivered depends on the spatial format that was requested at the time the corresponding soil survey area was exported.  Spatial information is typically delivered in GIS vendor specific format, and more than one output file may be produced when the information for this spatial entity is exported.  Consequently, no spatially oriented columns are shown, because the name and number of columns necessary to portray spatial characteristics vary depending on spatial format.

This table is documented in order to show attributes that will always be available when working with the corresponding spatial entity in a GIS.  These attributes have two purposes.  One purpose is to identify each instance of the corresponding spatial entity.  The other purpose is to identify each instance of the corresponding tabular entity.  The tabular entity corresponding to a map unit polygon is represented by a record in the Map Unit table.",3,Spatial,6
